prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Predict the evolutionary rate of the human species over 100 years using the Lamarck model.,predict_evolution_rate,predict_evolution_rate,True,True,1904.7906398773193,category_11,expert,llama-3.3-70b,,hybrid,2,0,False,True,category_11,"['category_7', 'category_8', 'category_4', 'category_9', 'category_11']",False,False,False,[],,,0,"{'species': True, 'years': True, 'model': True}",,,0,,,16377,24,16401,,[],,False,False,,,,[],[]
"Fetch the annual financial statements (income, balance, cash) for Alibaba Group Holding Ltd (BABA) from the Hong Kong market.",stock_get_financial_stmts,stock_get_total_revenue,False,,2070.446729660034,category_19,expert,llama-3.3-70b,,hybrid,2,0,False,False,category_33,"['category_40', 'category_33', 'category_17', 'category_27', 'category_22']",False,False,False,[],,,0,{},,,0,,,14847,19,14866,,[],,False,False,,,,[],[]
Calculate the ROCP for Apple Inc. stock over the last 9 days using daily intervals and the closing prices.,rocp,stochrsi,False,,1042.4323081970215,category_12,expert,llama-3.3-70b,,hybrid,2,0,False,False,category_8,"['category_8', 'category_40', 'category_7', 'category_4', 'category_9']",False,False,False,[],,,0,{},,,0,,,14579,57,14636,,[],,False,False,,,,[],[]
Lookup the domain 'association' with the extension 'asso.nc' to check its registration status.,get_domaine,get_domaine,True,True,710.1030349731445,category_38,hard,llama-3.3-70b,,hybrid,2,0,False,True,category_38,"['category_33', 'category_37', 'category_38', 'category_26', 'category_27']",False,False,False,[],,,0,"{'ext': True, 'nom': True}",,,0,,,15396,18,15414,,[],,False,False,,,,[],[]
Retrieve earnings information for Amazon.com Inc.,earnings,stock_get_total_revenue,False,,1155.7550430297852,category_24,medium,llama-3.3-70b,,hybrid,2,0,False,False,category_33,"['category_40', 'category_33', 'category_22', 'category_27', 'category_39']",False,False,False,[],,,0,{},,,0,,,14938,15,14953,,[],,False,False,,,,[],[]
Can you find details about the song with ID '12345' in French?,shazam_songs_get_details,songs_v2_get_details,False,,873.9571571350098,category_19,medium,llama-3.3-70b,,hybrid,2,0,False,False,category_14,"['category_32', 'category_17', 'category_14', 'category_38', 'category_37']",False,False,False,[],,,0,{},,,0,,,15778,22,15800,,[],,False,False,,,,[],[]
What are the room facility types available for ID 12345 and facility type ID 67890?,list_of_room_facility_types,properties_get_facilities,False,,1105.8979034423828,category_13,medium,llama-3.3-70b,,hybrid,2,0,False,False,category_27,"['category_21', 'category_27', 'category_9', 'category_7', 'category_33']",False,False,False,[],,,0,{},,,0,,,16847,22,16869,,[],,False,False,,,,[],[]
Search for airports in New York.,airport_search,airport_search,True,True,965.6879901885986,category_40,medium,llama-3.3-70b,,hybrid,2,0,False,True,category_40,"['category_40', 'category_26', 'category_9', 'category_37', 'category_10']",False,False,False,[],,,0,{'query': True},,,0,,,14901,12,14913,,[],,False,False,,,,[],[]
List all unconfirmed transactions in the Bitcoin blockchain.,get_mempool_v2,get_mempool_v2,True,True,1217.9841995239258,category_7,hard,llama-3.3-70b,,hybrid,2,0,False,True,category_7,"['category_7', 'category_4', 'category_12', 'category_15', 'category_19']",False,False,False,[],,,0,{'blockchain': True},,,0,,,16477,26,16503,,[],,False,False,,,,[],[]
What is the historical Total Value Locked (TVL) data for the Ethereum chain?,charts_chain,charts_chain,True,True,1195.1298713684082,category_6,medium,llama-3.3-70b,,hybrid,2,0,False,True,category_6,"['category_22', 'category_27', 'category_6', 'category_21', 'category_17']",False,False,False,[],,,0,{'chain': True},,,0,,,17757,11,17768,,[],,False,False,,,,[],[]
