prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Get hash fields,cache_hash_ops,cache_hash_ops,True,,3831.879138946533,caching_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,caching_operations,"['messaging_operations', 'database_operations', 'caching_operations', 'file_operations', 'payment_operations', 'cloud_storage_operations', 'web_operations', 'search_operations', 'queue_operations', 'secrets_operations', 'logging_operations', 'ai_ml_operations']",False,False,False,[],,,0,{},,,0,15,bounded,1687,19,1706,True,"['cache_hash_ops', 'find_duplicates', 'enable_access_logging', 'scrape_webpage', 'search_products', 'validate_json', 'get_job_status', 'rotate_secret', 'query_explain', 'semantic_search', 'manage_storage_analytics', 'calculate_tax', 'archive_conversation', 'get_queue_metrics', 'create_log_dashboard']",1,False,False,,,,[],[]
Move failed messages to DLQ,set_redrive_policy,set_redrive_policy,True,,2112.72931098938,queue_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,queue_operations,"['messaging_operations', 'cloud_storage_operations', 'web_operations', 'queue_operations', 'iot_operations', 'logging_operations', 'ai_ml_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,15,bounded,1666,50,1716,True,"['set_redrive_policy', 'archive_conversation', 'create_message_reaction', 'get_job_status', 'manage_storage_notifications', 'get_queue_metrics', 'set_object_lock', 'process_jobs', 'validate_json', 'configure_quiet_hours', 'create_device_group', 'enable_access_logging', 'semantic_search', 'simulate_device', 'create_log_dashboard']",1,False,False,,,,[],[]
Turn on request logging,enable_access_logging,enable_access_logging,True,,1797.3418235778809,cloud_storage_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,cloud_storage_operations,"['messaging_operations', 'database_operations', 'secrets_operations', 'caching_operations', 'cloud_storage_operations', 'queue_operations', 'iot_operations', 'logging_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,15,bounded,1703,19,1722,True,"['enable_access_logging', 'create_log_dashboard', 'manage_storage_notifications', 'manage_storage_analytics', 'get_queue_metrics', 'get_job_status', 'rotate_secret', 'manage_firmware', 'archive_conversation', 'query_explain', 'configure_quiet_hours', 'set_redrive_policy', 'cache_hash_ops', 'process_jobs', 'set_object_lock']",1,False,False,,,,[],[]
Organize devices into groups,create_device_group,create_device_group,True,,821.5436935424805,iot_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,iot_operations,['iot_operations'],False,False,False,[],,,0,{},,,0,3,elbow,478,37,515,True,"['create_device_group', 'manage_firmware', 'simulate_device']",1,False,False,,,,[],[]
Find relevant FAQs for this question,semantic_search,search_products,False,,2193.298101425171,ai_ml_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,search_operations,"['messaging_operations', 'database_operations', 'payment_operations', 'cloud_storage_operations', 'search_operations', 'web_operations', 'queue_operations', 'iot_operations', 'logging_operations', 'ai_ml_operations']",False,False,False,[],,,0,{},,,0,15,bounded,1774,49,1823,True,"['query_explain', 'get_queue_metrics', 'semantic_search', 'manage_firmware', 'search_products', 'manage_storage_analytics', 'scrape_webpage', 'archive_conversation', 'create_device_group', 'validate_json', 'process_jobs', 'create_log_dashboard', 'calculate_tax', 'set_object_lock', 'set_redrive_policy']",3,False,False,,,,[],[]
Create a new product,create_product,create_product,True,,1523.4990119934082,ecommerce_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,ecommerce_operations,"['messaging_operations', 'secrets_operations', 'payment_operations', 'ecommerce_operations', 'search_operations', 'cloud_storage_operations', 'queue_operations', 'iot_operations', 'logging_operations']",False,False,False,[],,,0,{},,,0,11,threshold,1354,26,1380,True,"['create_product', 'search_products', 'create_device_group', 'manage_firmware', 'create_message_reaction', 'simulate_device', 'set_object_lock', 'create_log_dashboard', 'rotate_secret', 'calculate_tax', 'process_jobs']",1,False,False,,,,[],[]
React with thumbs up,create_message_reaction,manage_storage_notifications,False,,1357.6502799987793,messaging_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,cloud_storage_operations,"['messaging_operations', 'cloud_storage_operations', 'web_operations', 'iot_operations', 'ai_ml_operations']",False,False,False,[],,,0,{},,,0,5,threshold,675,70,745,True,"['create_message_reaction', 'manage_storage_notifications', 'manage_firmware', 'scrape_webpage', 'semantic_search']",1,False,False,,,,[],[]
Identify duplicate images in the media library,find_duplicates,find_duplicates,True,,2007.2550773620605,file_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,file_operations,"['messaging_operations', 'caching_operations', 'file_operations', 'cloud_storage_operations', 'web_operations', 'search_operations', 'queue_operations', 'iot_operations', 'ai_ml_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,15,bounded,1778,30,1808,True,"['find_duplicates', 'semantic_search', 'cache_hash_ops', 'create_device_group', 'manage_storage_notifications', 'enable_access_logging', 'manage_storage_analytics', 'set_object_lock', 'archive_conversation', 'validate_json', 'get_queue_metrics', 'manage_firmware', 'search_products', 'get_job_status', 'configure_quiet_hours']",1,False,False,,,,[],[]
Check firmware status,manage_firmware,get_job_status,False,,1880.0809383392334,iot_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,queue_operations,"['database_operations', 'secrets_operations', 'caching_operations', 'cloud_storage_operations', 'web_operations', 'queue_operations', 'iot_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,15,bounded,1745,21,1766,True,"['manage_firmware', 'get_job_status', 'simulate_device', 'create_device_group', 'get_queue_metrics', 'enable_access_logging', 'manage_storage_analytics', 'validate_json', 'set_redrive_policy', 'manage_storage_notifications', 'set_object_lock', 'configure_quiet_hours', 'query_explain', 'cache_hash_ops', 'rotate_secret']",1,False,False,,,,[],[]
Check queue throughput,get_queue_metrics,get_queue_metrics,True,,610.0726127624512,queue_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,queue_operations,['queue_operations'],False,False,False,[],,,0,{},,,0,4,elbow,460,19,479,True,"['get_queue_metrics', 'get_job_status', 'process_jobs', 'set_redrive_policy']",1,False,False,,,,[],[]
