prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Get hash fields,cache_hash_ops,cache_hash_ops,True,,3448.155403137207,caching_operations,hard,llama3.2:3b,,rag,2,0,False,,caching_operations,"['secrets_operations', 'search_operations', 'file_operations', 'web_operations', 'caching_operations', 'cloud_storage_operations', 'database_operations', 'ai_ml_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,1142,22,1164,True,"['cache_hash_ops', 'find_duplicates', 'enable_access_logging', 'scrape_webpage', 'search_products', 'validate_json', 'get_job_status', 'rotate_secret', 'query_explain', 'semantic_search']",1,False,False,,,,[],[]
Move failed messages to DLQ,set_redrive_policy,set_redrive_policy,True,,1534.9540710449219,queue_operations,expert,llama3.2:3b,,rag,2,0,False,,queue_operations,"['notification_operations', 'web_operations', 'messaging_operations', 'cloud_storage_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,1098,50,1148,True,"['set_redrive_policy', 'archive_conversation', 'create_message_reaction', 'get_job_status', 'manage_storage_notifications', 'get_queue_metrics', 'set_object_lock', 'process_jobs', 'validate_json', 'configure_quiet_hours']",1,False,False,,,,[],[]
Turn on request logging,enable_access_logging,enable_access_logging,True,,1524.4178771972656,cloud_storage_operations,expert,llama3.2:3b,,rag,2,0,False,,cloud_storage_operations,"['secrets_operations', 'logging_operations', 'messaging_operations', 'cloud_storage_operations', 'iot_operations', 'database_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,1135,45,1180,True,"['enable_access_logging', 'create_log_dashboard', 'manage_storage_notifications', 'manage_storage_analytics', 'get_queue_metrics', 'get_job_status', 'rotate_secret', 'manage_firmware', 'archive_conversation', 'query_explain']",1,False,False,,,,[],[]
Organize devices into groups,create_device_group,create_device_group,True,,1719.4972038269043,iot_operations,expert,llama3.2:3b,,rag,2,0,False,,iot_operations,"['logging_operations', 'ecommerce_operations', 'messaging_operations', 'caching_operations', 'cloud_storage_operations', 'iot_operations']",False,False,False,[],,,0,{},,,0,,,1263,50,1313,True,"['create_device_group', 'manage_firmware', 'simulate_device', 'create_product', 'archive_conversation', 'create_log_dashboard', 'set_object_lock', 'manage_storage_notifications', 'manage_storage_analytics', 'cache_hash_ops']",1,False,False,,,,[],[]
Find relevant FAQs for this question,semantic_search,search_products,False,,1657.9136848449707,ai_ml_operations,expert,llama3.2:3b,,rag,2,0,False,,search_operations,"['search_operations', 'web_operations', 'messaging_operations', 'iot_operations', 'cloud_storage_operations', 'database_operations', 'ai_ml_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,1213,49,1262,True,"['query_explain', 'get_queue_metrics', 'semantic_search', 'manage_firmware', 'search_products', 'manage_storage_analytics', 'scrape_webpage', 'archive_conversation', 'create_device_group', 'validate_json']",3,False,False,,,,[],[]
Create a new product,create_product,create_product,True,,1436.2640380859375,ecommerce_operations,expert,llama3.2:3b,,rag,2,0,False,,ecommerce_operations,"['secrets_operations', 'search_operations', 'payment_operations', 'logging_operations', 'ecommerce_operations', 'messaging_operations', 'cloud_storage_operations', 'iot_operations']",False,False,False,[],,,0,{},,,0,,,1260,26,1286,True,"['create_product', 'search_products', 'create_device_group', 'manage_firmware', 'create_message_reaction', 'simulate_device', 'set_object_lock', 'create_log_dashboard', 'rotate_secret', 'calculate_tax']",1,False,False,,,,[],[]
React with thumbs up,create_message_reaction,manage_storage_notifications,False,,1882.1632862091064,messaging_operations,hard,llama3.2:3b,,rag,2,0,False,,cloud_storage_operations,"['secrets_operations', 'notification_operations', 'file_operations', 'web_operations', 'messaging_operations', 'cloud_storage_operations', 'iot_operations', 'ai_ml_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,1204,70,1274,True,"['create_message_reaction', 'manage_storage_notifications', 'manage_firmware', 'scrape_webpage', 'semantic_search', 'rotate_secret', 'configure_quiet_hours', 'get_job_status', 'find_duplicates', 'simulate_device']",1,False,False,,,,[],[]
Identify duplicate images in the media library,find_duplicates,find_duplicates,True,,1449.756383895874,file_operations,expert,llama3.2:3b,,rag,2,0,False,,file_operations,"['file_operations', 'web_operations', 'messaging_operations', 'caching_operations', 'cloud_storage_operations', 'iot_operations', 'ai_ml_operations']",False,False,False,[],,,0,{},,,0,,,1218,30,1248,True,"['find_duplicates', 'semantic_search', 'cache_hash_ops', 'create_device_group', 'manage_storage_notifications', 'enable_access_logging', 'manage_storage_analytics', 'set_object_lock', 'archive_conversation', 'validate_json']",1,False,False,,,,[],[]
Check firmware status,manage_firmware,get_job_status,False,,1315.4168128967285,iot_operations,expert,llama3.2:3b,,rag,2,0,False,,queue_operations,"['cloud_storage_operations', 'iot_operations', 'queue_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,,,1173,21,1194,True,"['manage_firmware', 'get_job_status', 'simulate_device', 'create_device_group', 'get_queue_metrics', 'enable_access_logging', 'manage_storage_analytics', 'validate_json', 'set_redrive_policy', 'manage_storage_notifications']",1,False,False,,,,[],[]
Check queue throughput,get_queue_metrics,get_queue_metrics,True,,1328.5350799560547,queue_operations,hard,llama3.2:3b,,rag,2,0,False,,queue_operations,"['payment_operations', 'notification_operations', 'cloud_storage_operations', 'iot_operations', 'database_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,1222,19,1241,True,"['get_queue_metrics', 'get_job_status', 'process_jobs', 'set_redrive_policy', 'manage_storage_analytics', 'enable_access_logging', 'simulate_device', 'query_explain', 'calculate_tax', 'configure_quiet_hours']",1,False,False,,,,[],[]
