prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
I need to search for images. Find photos of beaches,search_images,search_images,True,,4419.306993484497,search_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,search_operations,"['image_operations', 'web_operations', 'search_operations']",False,False,False,[],,,0,{},,,0,3,bounded,649,25,674,True,"['search_images', 'detect_objects', 'web_search']",1,False,False,,,,[],[]
I need to generate a comprehensive patient summary document. Prepare referral summary,generate_patient_summary,generate_patient_summary,True,,865.5965328216553,healthcare_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,healthcare_operations,"['testing_operations', 'healthcare_operations', 'workflow_operations', 'payment_operations', 'document_operations', 'ai_ml_operations', 'compliance_operations', 'text_operations', 'analytics_operations']",False,False,False,[],,,0,{},,,0,20,threshold,4035,51,4086,True,"['generate_patient_summary', 'create_clinical_note', 'document_clinical_note', 'create_care_plan', 'document_procedure', 'refer_patient', 'reconcile_medications', 'generate_test_report', 'generate_text', 'record_vital_signs', 'submit_insurance_claim', 'generate_compliance_report', 'generate_lorem_ipsum', 'create_cohort', 'create_workflow_template', 'create_invoice', 'create_invoice', 'flatten_pdf', 'word_count', 'send_patient_message']",1,False,False,,,,[],[]
I need to scan and decode a barcode from an image. Read the QR code from the photo,read_barcode,read_barcode,True,,425.7080554962158,image_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,image_operations,"['image_operations', 'text_operations', 'search_operations']",False,False,False,[],,,0,{},,,0,5,threshold,915,23,938,True,"['read_barcode', 'extract_colors', 'decode_text', 'detect_objects', 'search_images']",1,False,False,,,,[],[]
I need to update a patient's allergy list. Update patient allergies,update_allergy_list,update_allergy_list,True,,427.54220962524414,healthcare_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,healthcare_operations,"['healthcare_operations', 'iot_operations']",False,False,False,[],,,0,{},,,0,3,bounded,749,53,802,True,"['update_allergy_list', 'update_device_twin', 'reconcile_medications']",1,False,False,,,,[],[]
I need to snooze an email to reappear at a specified time later. Snooze message for later,snooze_email,snooze_email,True,,565.4845237731934,email_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,email_operations,"['notification_operations', 'email_operations', 'calendar_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,9,threshold,1698,41,1739,True,"['snooze_email', 'schedule_message', 'schedule_notification', 'schedule_message', 'set_out_of_office', 'schedule_email_digest', 'set_quiet_hours', 'import_emails', 'create_email_campaign']",1,False,False,,,,[],[]
I need to audit file permissions. Check for insecure file permissions,audit_permissions,audit_permissions,True,,863.7449741363525,security_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,security_operations,"['security_operations', 'web_operations', 'authentication_operations', 'document_operations', 'cloud_storage_operations', 'file_operations', 'compliance_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3308,36,3344,True,"['audit_permissions', 'audit_auth_logs', 'get_file_checksum', 'audit_auth_events', 'check_file_signature', 'calculate_checksum', 'set_permissions', 'verify_signature', 'generate_audit_log', 'secrets_scan', 'scan_vulnerabilities', 'scan_vulnerabilities', 'watch_file', 'ssl_certificate_check', 'verify_signature', 'check_ssl_certificate', 'decrypt_file', 'verify_otp', 'enable_access_logging', 'verify_document_signature']",1,False,False,,,,[],[]
I need to decode encoded text. Decode the encoded string,decode_text,decode_text,True,,477.2646427154541,text_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,text_operations,"['text_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,3,elbow,494,17,511,True,"['decode_text', 'decode_url', 'encode_text']",1,False,False,,,,[],[]
I want to manage notification segments. Create user segment,manage_notification_segments,manage_notification_segments,True,,917.898416519165,notification_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,notification_operations,"['notification_operations', 'monitoring_operations', 'calendar_operations', 'messaging_operations', 'analytics_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3926,36,3962,True,"['manage_notification_segments', 'manage_notification_templates', 'create_notification_template', 'manage_notification_channel', 'segment_users', 'manage_notification_digest', 'manage_subscription', 'create_alert_rule', 'segment_users', 'configure_notification_channel', 'manage_push_subscriptions', 'create_notification_workflow', 'set_notification_rules', 'send_push_notification', 'create_metric', 'manage_calendar_notifications', 'track_notification_engagement', 'schedule_notification', 'send_push_notification', 'test_notification']",1,False,False,,,,[],[]
I need to create an analytics dashboard. Set up a KPI dashboard,create_dashboard,create_dashboard,True,,566.9443607330322,analytics_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,analytics_operations,"['notification_operations', 'monitoring_operations', 'iot_operations', 'email_operations', 'devops_operations', 'logging_operations', 'analytics_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3615,75,3690,True,"['create_dashboard', 'create_dashboard', 'create_dashboard', 'create_log_dashboard', 'segment_users', 'segment_users', 'forecast_metric', 'get_email_analytics', 'track_event', 'create_metric', 'create_cohort', 'analyze_device_data', 'predict_churn', 'run_experiment_analysis', 'create_kubernetes_resource', 'configure_iot_stream', 'analyze_retention', 'track_notification_engagement', 'create_ab_test', 'setup_monitoring_alert']",1,False,False,,,,[],[]
I need to perform a DNS lookup. DNS lookup for domain,dns_lookup,dns_lookup,True,,860.3653907775879,networking_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,networking_operations,"['email_operations', 'networking_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,4,threshold,621,32,653,True,"['dns_lookup', 'whois_lookup', 'configure_email_domain', 'configure_email_domain']",1,False,False,,,,[],[]
