prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Send notification digest,send_digest_notification,send_digest_notification,True,,9772.83000946045,notification_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,notification_operations,"['ecommerce_operations', 'queue_operations', 'messaging_operations', 'email_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,10,threshold,2819,58,2877,True,"['send_digest_notification', 'manage_notification_digest', 'pin_message', 'send_email', 'manage_subscription', 'broadcast_message', 'get_notification_analytics', 'send_whatsapp_message', 'batch_send_messages', 'update_order_status']",1,False,False,,,,[],[]
Verify backup integrity,verify_backup,verify_backup,True,,779.7894477844238,backup_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,backup_operations,"['email_operations', 'database_operations', 'ecommerce_operations', 'backup_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,6,threshold,1660,30,1690,True,"['verify_backup', 'verify_email_address', 'validate_email', 'hash_data', 'restore_database', 'check_fraud_risk']",1,False,False,,,,[],[]
Set up data annotation,create_labeling_job,create_labeling_job,True,,363.83795738220215,ai_ml_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,ai_ml_operations,"['ai_ml_operations', 'document_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,3,bounded,995,75,1070,True,"['create_labeling_job', 'manage_email_template_variables', 'flatten_pdf']",1,False,False,,,,[],[]
Prioritize recent content,boost_search_results,boost_search_results,True,,759.068489074707,search_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,search_operations,"['cloud_storage_operations', 'search_operations', 'healthcare_operations', 'caching_operations', 'social_media_operations', 'messaging_operations', 'audio_operations', 'document_operations', 'calendar_operations', 'analytics_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,20,bounded,5463,45,5508,True,"['search_documents', 'manage_storage_intelligent_tiering', 'send_digest_notification', 'manage_notification_digest', 'pin_message', 'schedule_meeting_poll', 'create_social_campaign', 'reindex', 'manage_subscription', 'broadcast_message', 'search_messages', 'create_cache_index', 'flatten_pdf', 'boost_search_results', 'sync_audio_video', 'schedule_follow_up', 'create_dashboard', 'track_event', 'analyze_sentiment', 'cache_increment']",14,False,False,,,,[],[]
Download query results as CSV,export_csv,export_csv,True,,447.54672050476074,data_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,data_operations,"['database_operations', 'data_operations', 'web_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,4,threshold,1246,39,1285,True,"['export_csv', 'generate_payment_report', 'http_get', 'execute_query']",1,False,False,,,,[],[]
Set up audit trigger,manage_database_triggers,manage_database_triggers,True,,431.4115047454834,database_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,database_operations,"['database_operations', 'ecommerce_operations', 'workflow_operations']",False,False,False,[],,,0,{},,,0,3,threshold,1071,58,1129,True,"['manage_database_triggers', 'check_fraud_risk', 'create_workflow']",1,False,False,,,,[],[]
Recover the database,restore_database,restore_database,True,,349.8358726501465,database_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,database_operations,['database_operations'],False,False,False,[],,,0,{},,,0,3,bounded,969,30,999,True,"['restore_database', 'execute_query', 'manage_database_triggers']",1,False,False,,,,[],[]
Add full-text search to cache,create_cache_index,create_cache_index,True,,329.93388175964355,caching_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,caching_operations,"['caching_operations', 'messaging_operations', 'search_operations', 'file_operations']",False,False,False,[],,,0,{},,,0,6,threshold,1773,50,1823,True,"['create_cache_index', 'search_documents', 'search_messages', 'manage_search_synonyms', 'search_file_content', 'cache_increment']",1,False,False,,,,[],[]
Migrate the index,reindex,reindex,True,,304.3699264526367,search_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,search_operations,"['caching_operations', 'database_operations', 'search_operations']",False,False,False,[],,,0,{},,,0,3,bounded,905,20,925,True,"['reindex', 'create_cache_index', 'restore_database']",1,False,False,,,,[],[]
Configure passkey authentication,configure_passwordless,configure_passwordless,True,,311.28430366516113,authentication_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,authentication_operations,['authentication_operations'],False,False,False,[],,,0,{},,,0,5,threshold,1487,44,1531,True,"['configure_passwordless', 'setup_oauth_provider', 'create_api_key', 'revoke_api_key', 'disable_mfa']",1,False,False,,,,[],[]
