prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Can you download the Minecraft .jar file for version 1.16.5?,downloadminecraftjar,downloadminecraftjar,True,True,2739.1011714935303,category_17,medium,llama3.2:3b,,rag,2,0,False,,category_17,"['category_1', 'category_17', 'category_37', 'category_28']",False,False,False,[],,,0,{'minecraftversion': True},,,0,,,450,23,473,True,"['downloadminecraftjar', 'local_osm_v1_z_x_y_png', 'getrandommovie', 'detailed_cake_recipe_by_id', 'get_company_by_domain']",1,False,False,,,,[],[]
Fetch 3 random movies from the database.,getrandommovie,getrandommovie,True,True,590.181827545166,category_1,medium,llama3.2:3b,,rag,2,0,False,,category_1,"['category_1', 'category_37', 'category_22', 'category_33']",False,False,False,[],,,0,{'count': True},,,0,,,469,18,487,True,"['getrandommovie', 'ev', 'get_company_by_domain', 'product_id', 'items']",1,False,False,,,,[],[]
"Download an OpenStreetMap tile for zoom level 14, x=2345, y=1234.",local_osm_v1_z_x_y_png,local_osm_v1_z_x_y_png,True,True,832.2699069976807,category_28,hard,llama3.2:3b,,rag,2,0,False,,category_28,"['category_34', 'category_33', 'category_17', 'category_28', 'category_22']",False,False,False,[],,,0,"{'y': True, 'z': True, 'x': True}",,,0,,,508,38,546,True,"['local_osm_v1_z_x_y_png', 'downloadminecraftjar', 'ev', 'getallcountry', 'items']",1,False,False,,,,[],[]
Retrieve company data for 'facebook.com'.,get_company_by_domain,get_company_by_domain,True,True,706.8061828613281,category_37,medium,llama3.2:3b,,rag,2,0,False,,category_37,"['category_1', 'category_18', 'category_34', 'category_37']",False,False,False,[],,,0,{'domain': True},,,0,,,573,20,593,True,"['get_company_by_domain', 'getallcountry', 'detailed_cake_recipe_by_id', 'product_id', 'investment_profit']",1,False,False,,,,[],[]
Retrieve the entire list of country names with a limit of 500.,getallcountry,getallcountry,True,True,776.1802673339844,category_34,hard,llama3.2:3b,,rag,2,0,False,,category_34,"['category_1', 'category_34', 'category_37', 'category_33']",False,False,False,[],,,0,"{'limit': True, 'page': True, 'order': True}",,,0,,,544,30,574,True,"['getallcountry', 'get_company_by_domain', 'detailed_cake_recipe_by_id', 'items', 'product_id']",1,False,False,,,,[],[]
Fetch the third page of data from the EV API.,ev,ev,True,True,730.3433418273926,category_22,medium,llama3.2:3b,,rag,2,0,False,,category_22,"['category_1', 'category_37', 'category_22', 'category_33']",False,False,False,[],,,0,{'page': True},,,0,,,484,31,515,True,"['ev', 'getrandommovie', 'product_id', 'detailed_cake_recipe_by_id', 'items']",1,False,False,,,,[],[]
"What would be the profit from investing $10,000 at an annual return rate of 6% for 5 years?",investment_profit,investment_profit,True,True,756.2119960784912,category_18,hard,llama3.2:3b,,rag,2,0,False,,category_18,"['category_1', 'category_18', 'category_17', 'category_37']",False,False,False,[],,,0,"{'amount': True, 'rate': True, 'years': True}",,,0,,,461,32,493,True,"['investment_profit', 'get_company_by_domain', 'getrandommovie', 'downloadminecraftjar', 'detailed_cake_recipe_by_id']",1,False,False,,,,[],[]
I need details about an item with ID 'item007' from the Codester API. What function should I use?,items,items,True,True,686.7022514343262,category_33,medium,llama3.2:3b,,rag,2,0,False,,category_33,"['category_1', 'category_34', 'category_37', 'category_33']",False,False,False,[],,,0,{'is_id': True},,,0,,,559,18,577,True,"['items', 'product_id', 'detailed_cake_recipe_by_id', 'getallcountry', 'getrandommovie']",1,False,False,,,,[],[]
Retrieve the detailed recipe for the cake with ID 'cake101'.,detailed_cake_recipe_by_id,detailed_cake_recipe_by_id,True,True,657.1178436279297,category_37,medium,llama3.2:3b,,rag,2,0,False,,category_37,"['category_1', 'category_17', 'category_37', 'category_33']",False,False,False,[],,,0,{'is_id': True},,,0,,,484,24,508,True,"['detailed_cake_recipe_by_id', 'product_id', 'items', 'get_company_by_domain', 'downloadminecraftjar']",1,False,False,,,,[],[]
"Can you find the details of the product with ID 123456 in the US market, using USD as the currency?",product_id,,False,,931.9829940795898,category_1,hard,llama3.2:3b,Model did not call any tool,rag,2,0,False,,,"['category_34', 'category_37', 'category_33', 'category_18', 'category_1']",False,False,False,[],,,0,{},,,0,,,594,38,632,True,"['product_id', 'detailed_cake_recipe_by_id', 'getallcountry', 'investment_profit', 'items']",1,False,False,,,,[],[]
